Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
Charities & Nonprofits,,Òganizasyon Charite ak sa ki pa Travay pou Pwofi,Благотворительные и некоммерческие организации,慈善与非营利组织,자선 단체 및 비영리 단체,Từ thiện và phi lợi nhuận,Organizaciones caritativas y sin fines de lucro,慈善與非營利組織
Charities and Nonprofits,,Òganizasyon Charite ak sa ki pa Travay pou Pwofi,Благотворительные и некоммерческие организации,慈善和非营利组织,자선 및 비영리 단체,Từ thiện và phi lợi nhuận,Entidades caritativas y sin fines de lucro,慈善與非營利組織
Circular 230,,Sikilè 230,Циркуляр 230,通告230号,회보 230,Thông tư 230,Circular 230,通告230號
Civil Rights,,Dwa Sivil,Гражданские права,公民权利,민권,Quyền công dân,Derechos Civiles,公民權利
Close,,Fèmen,близко,关,닫기,Đóng,Cerca,關
Coronavirus Tax Relief,,Resevwa Alèjman sou Taks akoz Kowonaviris,Получите налоговую льготу в связи с эпидемией коронавируса,冠状病毒税收宽减,코로나바이러스 세금 감면을 받으세요,Được giảm nhẹ gánh nặng thuế do virút corona,Alivio tributario por el coronavirus,冠狀病毒稅收寬減
Credits & Deductions,,Kredi ak Dediksyon,Налоговые зачеты и вычеты,抵免优惠和扣除,세액 공제,Tín thuế & khoản khấu trừ,Créditos y Deducciones,抵免优惠和扣除
Criminal Investigation,,Envestigasyon sou Krim,Следствие по уголовному делу,刑事调查,범죄 수사,Điều Tra Tội Phạm,Investigación penal,犯罪調查
Debit or Credit Card,,Kat Debi oswa Kat Kredi,Дебетовая или кредитная карта,借记卡或信用卡,직불 또는 크레딧 카드,Thẻ ghi nợ hoặc thẻ tín dụng,Tarjeta de débito o crédito,借記卡或信用卡
Direct Deposit,,Depo Dirèk,Прямой вклад,直接存款,자동 이체,Chuyển khoản trực tiếp,Depósito directo,直接存款
EINs and other information,,EIN ak lòt enfòmasyon,Идентификационный номер работодателя (EIN) и другая информация,EIN和其他信息,고용주 식별 번호 (EIN) 및 기타 정보,Số EIN và thông tin khác,Los EIN y otra información,EIN和其他信息
Earned Income Credit (EITC),,Kredi Revni ki Gànye (EITC),Налоговый зачет за заработанный доход (EITC),低收入家庭抵免优惠 (EITC),근로 소득 세액 공제 (EITC),Tín thuế thu nhập do lao động (EITC),Crédito tributario por ingreso del trabajo (EITC),低收入家庭抵免優惠 (EITC)
Electronic Federal Tax Payment System (EFTPS),,Sistèm Pèman Taks Federal Elektwonik (EFTPS),Электронная система уплаты федеральных налогов (EFTPS),电子联邦税务付款系统（EFTPS）,전자식 연방 세금 납부 시스템 (EFTPS),"Hệ Thống Trả Tiền Thuế Liên Bang Dạng Điện Tử (Electronic Federal Tax Payment System, hay EFTPS)",Sistema de pago electrónico del impuesto federal (EFTPS),電子聯邦稅務付款系統（EFTPS）
Employee's Withholding Certificate,,Sètifika Prelèvman Anplwaye,Сертификат о налоговых скидках наемного работника при начислении удержаний из заработной платы,雇员的预扣税金证明,종업원의 원천 징수 허용액 증명,Chứng thư cho phép tạm thu thuế của nhân viên,Certificado de Retenciones del Empleado,僱員的預扣稅金證明
Employer's Quarterly Federal Tax Return,,Deklarasyon Taks Federal Trimèstriyèl Anplwayè,Квартальная Федеральная налоговая декларацию работодателя,雇主的季度联邦纳税申报表,고용주의 분기별 연방세 보고서,Tờ khai thuế liên bang theo quý của chủ thuê lao động,Declaración Federal Trimestral del Empleador,雇主的季度聯邦納稅申報表
Employers engaged in a trade or business who pay compensation,,Anplwayè ki angaje nan yon endistri oswa biznis ki peye konpansasyon,"Работодатели, занимающиеся торговлей или бизнесом, которые платят компенсацию",从事贸易或业务的雇主支付工资,보수를 지급하는 무역 또는 사업에 종사하는 고용주,Chủ thuê lao động hoạt động thương mại hay kinh doanh mà trả tiền thù lao,Empleadores que participan en un comercio o negocio que pagan la compensación,從事貿易或業務的雇主支付工資
Estimated Taxes,,Taks Estime,Расчетный налог,估计税,추정세,Thuế phỏng định,Impuestos Estimados,估計稅
FOIA,,FOIA,Закон о свободе информации (ЗСИ),FOIA,FOIA,Đạo Luật Tự Do Thông Tin (FOIA),Ley de Libertad de Información (FOIA),《資訊自由法案》（FOIA）
FORMS & INSTRUCTIONS,,Fòmilè ak Enstriksyon,Налоговые формы и инструкции,表格和说明,양식 및 작성 지침,Mẫu đơn & hướng dẫn,Formularios e Instrucciones,表格和說明
Federal State and Local Governments,,Leta Federal ak Gouvènman Lokal yo,"Федеральные, штатные и местные органы власти",联邦、州和地方政府,"연방, 주 및 시 정부","Chính Quyền Liên Bang, Tiểu Bang và Địa Phương","Gobiernos federales, estatales y locales",聯邦、州和地方政府
File,,Soumèt,Файл,申报,세금 신고,Hồ sơ,Declarar impuestos,申報
Filing for Individuals,,Soumisyon pou Moun,ПОДАЧА НАЛОГОВЫХ ДЕКЛАРАЦИЙ ФИЗИЧЕСКИМИ ЛИЦАМИ,為個人提交檔,개인을 위한 서류 제출,Nộp hồ sơ cho cá nhân,PRESENTACIÓN DE IMPUESTOS PARA INDIVIDUOS,為個人提交檔
Find a Local Office,,Jwenn yon Biwo Lokal,Найти местный офис,查找当地办事处,현지 사무실 찾기,Tìm Một Văn Phòng Địa Phương,Buscar una oficina local,查找本地辦公室
Fix/Correct a Return,,Korije/Rektifye yon Deklarasyon,Внесение поправок в налоговую декларацию,修复/更正税表,보고서 수정/정정하기,Sửa/chữa lỗi hồ sơ khai thuế,Arreglar/corregir una declaración,修復/更正稅表
For you and your family,,Pou oumenm ak fanmi w,Для вас и вашей семьи,给您和您的家人,귀하 및 귀하의 가족,Dành cho quý vị và gia đình,Para usted y su familia,給您和您的家人
Form 1040,,Fòmilè 1040,Форма 1040,1040表格,양식 1040,Mẫu đơn 1040,Formulario 1040,1040表格
Form 1040 Instructions,,Machaswiv Fòm 1040,Инструкции к форме 1040,1040表格 指示,양식 1040 지침,Hướng dẫn mẫu đơn 1040,Instrucciones para el Formulario 1040,1040表格 指示
Form 1040-X,,Fòm 1040-X,Форма 1040-X,1040-X表格,양식 1040-X,Mẫu đơn 1040-X,Formulario 1040-X,1040-X表格
Form 2848,,Fòmè 2848,Форма 2848,2848表格,양식 2848,Mẫu đơn 2848,Formulario 2848 (SP),2848表格
Form 4506-T,,Fòm 4506-T,Форма 4506-T,4506-T表格,양식 4506-T,Mẫu đơn 4506-T,Formulario 4506-T,4506-T表格
Form 941,,Fòm 941,Форма 941,941表格,양식 941,Mẫu đơn 941,Formulario 941 (en inglés),941表格
Form 9465,,Fòm 9465,Форма 9465,9465表格,양식 9465,Mẫu đơn 9465,Formulario 9465 (SP),9465表格
Form W-2,,Fòm W-2,Форма W-2,W-2表格,양식 W-2,Mẫu đơn W-2,Formulario W-2,W-2表格
Form W-4,,Fòm W-4,Форма W-4,W-4表格,양식 W-4,Mẫu đơn W-4,Formulario W-4 (SP),W-4表格
Form W-7,,Fòm W-7,Форма W-7,W-7表格,양식 W-7,Mẫu đơn W-7,Formulario W-7 (SP),W-7表格
Form W-9,,Fòm W-9,Форма W-9,W-9表格,양식 W-9,Mẫu đơn W-9,Formulario W-9 (SP),W-9表格
Forms & Instructions,,Fòmilè ak Enstriksyon,Налоговые формы и инструкции,表格和说明,양식 및 작성 지침,Mẫu đơn & hướng dẫn,Formularios e Instrucciones,表格和說明
Free File,,Deklare Gratis,Средство Free File для бесплатной подачи налоговых деклараций,免费提交,무료 보고,무Khai miễn phí,Presentar gratis,免費提交
Get Your Economic Impact Payment Status,,Jwenn Estati Peman Enpak Ekonomik Ou,Отследите статус выплат в связи с экономическими последствиями,获取您的经济影响补助金状况,귀하의 경제 충격 지원금의 현황을 알아보세요,Nhận Tình Trạng Các Khoản Thanh Toán Tác Động Kinh Tế của Quý Vị,Obtenga el estado de su pago de impacto económico,獲取您的經濟影響補助金狀況
Get Your Tax Record,,Jwenn Dosye Taks Ou,Получение вашей налоговой документации,获得您的报税记录,세무 기록 사본 얻기,Nhận hồ sơ thuế của quý vị,Obtenga su registro tributario,獲取您的稅務記錄
Get an Identity Protection PIN (IP PIN),,Jwenn yon PIN Pwoteksyon Idantite (IP PIN),Получение Индивидуального номера для защиты личных данных (IP PIN),获取身份保护销子 （IP PIN）,신분 보호 핀 (IP PIN) 얻기,Nhận một Pin bảo vệ danh tánh (IP PIN),Obtenga un PIN para la protección de la identidad (IP PIN),獲取身份保護銷子 （IP PIN）
Government Entities,,Enstitisyon Gouvènmantal,Государственные учреждения,政府实体,정부 기관,Thực thể thuộc chính phủ,Entidades gubernamentales,政府實體
Health Coverage,,Kouvèti Sante,Медицинское обеспечение,健康保险,의료 보험 보장 범위,Bao trả cho dịch vụ sức khỏe,Cobertura de Salud,健康保險
Help,,Èd,Справка,帮助,도움말,Trợ giúp,Ayuda,幫助
How to File,,Kijan pou Soumèt Rapò a,Как подавать налоговую декларацию,如何提交,제출 방법,Cách nộp tờ khai thuế,Cómo presentar,如何提交
IRS Notices and Letters,,Avi ak Lèt IRS yo,Уведомления и Письма Налоговой службы,国税局通知和信件,국세청 고지 및 서신,Thông Báo và Thư IRS,Avisos y cartas del Servicio de Impuestos Internos (IRS),國稅局通知與信函
Identity Theft,,Vòl Idantite,Кража персональных данных,身份盗窃,신원 도용,Đánh Cắp Danh Tính,Robo de identidad,身份盜用
Identity Theft Protection,,Pwoteksyon Vòl Idantite,Сообщение о фишинге,身份盗窃保护,신분 도용 보호,Bảo vệ khỏi trộm cắp danh tính,Protección del Robo de Identidad,身份盜竊保護
Independent Office of Appeals,,Biwo Kontestasyon Endepandan,Независимый отдел апелляций (полная фраза),独立上诉办公室,독립 재심리국,Văn phòng Giải quyết Kháng cáo Độc lập,Oficina Independiente de Apelaciones,獨立上訴辦公室
Indian Tribal Governments,,Gouvènman Tribal Endyen yo,Индейские племенные органы власти,印第安部落政府,인디언 부족 정부,Chính Quyền Bộ Lạc Người Mỹ Bản Địa,Gobiernos tribales de indígenas estadounidenses,印第安部落政府
Individual Tax Return,,Deklarasyon Taks Endividyèl,Индивидуальная налоговая декларация,個人報稅表,개인 세금 신고서,Hồ sơ khai thuế cá nhân,Declaración de impuestos personal,個人報稅表
Individuals,,Moun,Физические лица,个人,개인,Cá nhân,Individuos,個人
Individuals abroad and more,,Moun ki aletranje ak plis,Физические лица за рубежом и т.д.,国外的个人和更多,해외 거주 개인 및 추가 정보,Cá nhân ở nước ngoài và nhiều hơn thế,Individuos en el extranjero y más,國外的個人和更多
Information For...,,Enfòmasyon Pou …,ИНФОРМАЦИЯ ДЛЯ,信息给...,정보...,Thông tin dành cho...,Información para...,信息給...
Installment Agreement Request,,Demann Kontra Vèsman,Запрос договора рассрочки,分期付款协议申请,분할 납부 합의 신청,Yêu cầu hợp đồng trả góp,Solicitud para un Plan de Pagos a Plazos,分期付款協議申請
Instructions for Form 1040,,Machaswiv pou Fòm 1040,Инструкции к форме 1040,表格1040的說明,양식 1040 작성 안내,Hướng dẫn dành cho mẫu đơn 1040,Instrucciones para el Formulario 1040,表格1040的說明
International Taxpayers,,Kontribyab Entènasyonal,Международные налогоплательщики,国际纳税人,국제 납세자,Người đóng thuế quốc tế,Contribuyentes internacionales,國際納稅人
Know Your Rights,,Se Pou W Konnen Dwa W Yo,Знайте свои права,知道你的权益,당신의 권리를 알고,HIỂU QUYỀN CỦA QUÝ VỊ,Conozca sus derechos,知道你的權益
Languages,,Lang,ЯЗЫКИ,语言,언어,NGÔN NGỮ,Idiomas,語言
Menu,,Meni,Меню,菜单,메뉴,Thực đơn,Menú,選項單
News,,Nouvèl,Новости,新闻,뉴스,Tin tức,Noticias,新聞
No FEAR Act Data,,Kontni Lwa No FEAR,"Данные по Закону об уведомлении и о борьбе с дискриминацией, и ответными мерами федеральных служащих.",没有恐惧法案数据,No FEAR 법 데이터,Dữ Liệu Đạo Luật Chống Trả Thù Và Chống Phân Biệt Đối Xử Nhân Viên Liên Bang (No-FEAR),Datos de la Ley de Notificación y Contra la Discriminación y Represalias de los Empleados Federales (No FEAR),無恐懼行為資料
Operations and Budget,,Operasyon ak Bidjè,Операции и Бюджет,业务和预算,운영 및 예산,Hoạt Động và Ngân Sách,Operaciones y presupuesto,運營與預算
Other Languages,,Lòt Lang,Другие языки,其他语言,다른 언어,Ngôn ngữ khác,Otros Idiomas,其他語言
Our Agency,,Ajans nou an,Наше агентство,我们的机构,대행사,CƠ QUAN CHÚNG TÔI,Nuestra Agencia,我們的機構
Overview,,Apèsi sou lekòl la,обзор,概观,개요,Tổng quan,Resumen,概觀
POPULAR FOR TAX PROS,,Popilè pou Tax Pros,АКТУАЛЬНЫЕ ВОПРОСЫ ДЛЯ НАЛОГОВЫХ СПЕЦИАЛИСТОВ,普及的给税务专业人士,인기 검색 세무 전문가,PHỔ BIẾN DÀNH CHO CHUYÊN GIA THUẾ,Popular para los profesionales de impuestos,普及的給稅務專業人士
Pay,,Peye,Уплата,付款,납부,Trả tiền,Pagar,付款
Pay By,,PEYE OPLITA,Уплата с помощью,支付,납부 방법,Trả tiền qua,Pagar por,支付
Payment Plan (Installment Agreement),,Plan Pèman (Kontra Vèsman),Программа уплаты (соглашение об уплате в рассрочку,付款计划（分期付款协议）,납부 계획 (분할 납부 합의),Chương trình trả tiền (Hợp đồng trả góp),Plan de pagos (Plan de pagos a plazos),付款計劃（分期付款協議）
Penalties,,Sanksyon,Штрафы,罚款,과태료,Tiền phạt,Multas,罰款
Phishing,,Eskwokri,Фишинг,钓鱼,피싱,Tấn Công Giả Mạo,Delitos informáticos (phishing),網路釣魚
Popular,,Popilè,Актуальные вопросы,普及的,인기 검색,Phổ biến,Popular,普及的
Privacy Policy,,Politik Konfidansyalite,политика конфиденциальности,隐私政策,개인정보 처리방침,Chính sách về Quyền Riêng tư,Política de Confidencialidad,隱私政策
Reduced Refunds,,Ranbousman Redui,Уменьшенные возвраты налога,减少退税,감소된 환급액,Hoàn thuế đã giảm,Reembolsos reducidos,減少退稅
Refunds,,Ranbousman,Возвраты налога,退款,환급,Hoàn thuế,Reembolsos,退稅
Related Sites,,Sit ki gen rapò,Взаимосвязанные веб-сайты,相关网站,관련 사이트,Các trang liên quan ,Sitios Relacionados,相關網站
Report Phishing,,Rapòte Eskwokri sou Entènèt,Налоговые мошенничества и злоупотребления,报告网络钓鱼,피싱 신고,Báo cáo lừa đảo,Informe de Phishing,報告網絡釣魚
Request for Taxpayer Identification Number (TIN) and Certification,,Demann pou Nimewo Idantifikasyon Kontribyab (TIN) ak Sètifikasyon,Запрос индивидуального идентификационного номера налогоплательщика (ITIN) и сертификации,申請納稅人識別號碼 (TIN) 及證明書,납세자 식별 번호(TIN) 및 증명 신청서,Yêu cầu Mã số Người đóng thuế (TIN) và Chứng nhận,Solicitud y Certificación del Número de Identificación del Contribuyente,申請納稅人識別號碼 (TIN) 及證明書
Request for Transcript of Tax Return,,Demann pou Relve Deklarasyon Taks,Запрос выписки из налоговой декларации,索取報稅表的要求,세금 신고서 사본 신청서,Yêu cầu Bản ghi hồ sơ khai thuế,Solicitud de transcripción de la declaración de impuestos,索取報稅表的要求
Resolve an Issue,,Rezoud yon pwoblèm,Разрешение налоговой проблемы,解决问题,문제 해결,Giải quyết một vấn đề,Resolver un Problema,解決問題
Respond to a Notice,,Reponn yon Avi,Независимый отдел апелляций (полная фраза),回应您的通知,통지서 답변 방법,Trả lời một thông báo,Responder a un Aviso,回應您的通知
Retirement Plans,,Epay Retrèt,Пенсионные программы,退休计划,퇴직 계획,Các Chương Trình Hưu Trí,Planes de ahorros para la jubilación,退休計劃
Rules Governing Practice before IRS,,Règ ki Kontwole Pratik Devan IRS,"Правила, регулирующие практику взаимодействия с Налоговым управлением США",在国税局面前的执业规则,IRS 관련 업무 종사자에 대한 규정,Quy tắc về thực hành trước IRS,Normas que rigen la práctica ante el IRS,在國稅局面前的執業規則
Search,,Rechèch,Поиск,搜索,검색,Tìm kiếm,Buscar,搜索
Search IRS.gov,,Rechèch IRS.gov,Поиск IRS.gov,搜寻IRS.gov,IRS.gov 검색,Tìm kiếm IRS.gov,Buscar IRS.gov,搜尋IRS.gov
Standard Deduction,,Dediksyon Estanda,Стандартный вычет,标准扣除,표준 공제,Mức khấu trừ thuế tiêu chuẩn,Deducción estándar,標準扣除
Standard mileage and other information,,Mileyaj Estanda ak lòt enfòmasyon,Стандартная ставка за пробег в милях и другая информация,标准里程和其他信息,표준 마일리지 및 기타 정보,Số dặm tiêu chuẩn và thông tin khác,Millaje estándar y otra información,標準里程和其他信息
Submit Search to IRS.gov,,Soumèt Search IRS.gov,Отправить запрос на IRS.gov,提交搜索到IRS.gov,IRS.gov에 검색 제출,Gửi Tìm kiếm tới IRS.gov,Enviar búsqueda a IRS.gov,提交搜索到IRS.gov
Tax Exempt Bonds,,Obligasyon ki Pa Gen Taks sou yo,"Облигации, освобожденные от налогообложения",免税债券,면세 채권,Công Khố Phiếu Được Miễn Thuế,Bonos exentos de impuestos,免稅債券
Tax Fraud,,Fwod Fiskal,Налоговое мошенничество,税务欺诈,세금 사기,Gian Lận Thuế,Fraude fiscal,稅務詐騙
Tax Fraud & Abuse,,Fwòd ak Abi Taks,Налоговые мошенничества и злоупотребления,税务欺诈滥用,세금 사기 및 세법 악용,Gian lận & lừa đảo thuế,Fraude y Abuso Tributario,稅務欺詐和濫用
Tax Pros,,Avantaj taks,Налоговые специалисты,税务专业人士,세금 전문가,Chuyên gia thuế,Profesionales de Impuestos,稅務專業人士
Tax Statistics,,Estatistik Enpo,Статистика по налогообложению,税务统计,세금 통계,Thống Kê Thuế,Estadísticas fiscales,稅務分析
Tax Withholding Estimator,,Estimatè Prelèvman Taks,Средство оценки удержанного налога Налогового управление США (IRS),預扣稅金估算表,IRS 세금 원천징수 추정기,Công Cụ Ước Tính Tiền Khấu Lưu Thuế của IRS,Estimador de Retención,預扣稅金估算表
Taxpayer Advocate Service,,Sèvis Defans pou Kontribyab yo,Служба консультативной поддержки для налогоплательщиков,纳税人辩护服务处,납세자 보호 서비스,Dịch vụ biện hộ người đóng thuế,Servicio del Defensor del Contribuyente,納稅人辯護服務處
Taxpayer Bill of Rights,,Deklarasyon Dwa Kontribyab yo,Декларация прав налогоплательщика,纳税人权利法案,납세자 권리헌장,Dự luật về quyền của người đóng thuế,Carta de Derechos del Contribuyente,納稅人權利法案
Treasury Inspector General for Tax Administration,,Enspektè Jeneral Trezò pou Administrasyon Fiskal,Генеральный инспектор Министерства финансов США по налоговому администрированию,财政部税务行政监察长,재무부 조세행정 총괄감사국,Tổng Thanh tra của Bộ Ngân khố về Hành chính Thuế,Inspector General del Tesoro para la Administración Tributaria,財政部稅務行政監察長
U.S. Treasury,,Depatman Trezò Ameriken,Министерство финансов США,美国财政部,미국 재무부,Bộ Ngân Khố Hoa Kỳ,Tesoro de los Estados Unidos,美國財政部
USA.gov,,USA.gov,USA.gov,USA.gov,USA.gov,USA.gov,USA.gov,USA.gov
Update My Information,,Mete Enfòmasyon Mwen Ajou,Обновление моей информации,更新我的资料,나의 정보 업데이트하기,Cập nhật thông tin của tôi,Actualizar mi información,更新我的资料
View Your Account,,Gade Kont Ou,Просмотр вашего счета,查看您的帐户,나의 계정 보기,Xem tài khoản của quý vị,Ver su cuenta,查看您的帳戶
What to Expect,,Sa ki pral pase,Что следует ожидать,该预料怎么,기대할 수 있는 사항,Điều gì sẽ xảy ra,Lo que debe esperar,該預料怎麼
When to File,,Kilè pou Soumèt Rapò a,Когда подавать налоговую декларацию,什么时候提交,제출 기간,Khi nào nộp tờ khai thuế,Cuándo presentar,什麼時候提交
Where to File,,Ki Kote pou Soumèt Rapò a,Куда подавать налоговую декларацию,在哪里提交,제출 장소,Nơi nộp tờ khai thuế,Dónde presentar,在哪裡提交
Where's My Refund,,Kote Ranbousman Mwen an,Где мой возврат переплаченных налогов?,我的退税在哪里,내 환급액이 어디 있습니까?,Tiền Hoàn Thuế của Tôi Đâu?,¿Dónde está mi reembolso?,我的退稅在哪裡
Whistleblower Office,,Biwo Denonsyatè,Управление по работе с информаторами,检举人办公室,내부 고발자 부서,Văn phòng Người Tố Giác,Oficina de Tramitación para Informantes,舉報人辦公室
agi.a.agiDisqualifier,Earned Income and Tax Credit Tables,Tablo Kredi Ou Genyen ak Kredi Enpo,Таблицы заработанного дохода и налогового зачета,劳动所得和税收抵免表,근로 소득 및 세금 공제 표,Bảng Thu Nhập Kiếm Được và Tín Thuế,Tablas del ingreso del trabajo y del crédito tributario,勞動所得以及稅務優惠表
agi.a.alimonyTT,Tax Topic 452,Dosye Taks 452,Налоговая тема 452,税务主题 452 （英文）,세금 주제 452,Chủ Đề Thuế 452,Tema tributario 452,稅務主題 452
agi.a.businessTT,"Form 2106, Employee Business Expenses","Fòmilè 2106, Tarif Travayè Biznis","Форма 2106, Коммерческие расходы работника",表格 2106，雇佣人员业务支出（英文）,"양식 2106, 직원 사업 지출(영어)","Mẫu 2106, Chi Phí Công Việc Của Nhân Viên (tiếng Anh)","Formulario 2106, Gastos de negocio del empleado (en inglés)",《表格 2106 —— 員工業務費用》（英文）
agi.a.earnedIncomeDisqualifier,Earned Income and Tax Credit Tables,Tablo Kredi Genyen ak kredi Enpo,Таблицы заработанного дохода и налогового зачета,劳动所得和税收抵免表,근로 소득과 세액공제 표,Bảng Thu Nhập Kiếm Được và Tín Thuế,Tablas del ingreso del trabajo y del crédito tributario,勞動所得以及稅務優惠表
agi.a.educatorTT,IRS Topic 458,Dosye IRS 458,IRS Тема 458,IRS 主题 458（英文）,국세청 주제 458,Chủ Đề IRS 458,Tema del IRS 458,美國國稅局主題 458
agi.a.federalIncomeNotWithheldTT,Manage Taxes for Your Gig Work,Manage Taxes for Your Gig Work (Jere Taks pou Travay An Group Ou),Управляйте налогами при работе в сфере экономики свободного заработка,非正式雇佣关系者税务管理（英文）,독립형 계약식 일자리를 위한 세금 관리,Quản Lý Thuế Cho Công Việc Thuộc Nền Kinh Tế Gig,Administre los impuestos para su trabajo de la economía compartida,管理您的零工的稅務
agi.a.foreignEarnedIncomeTT,"About Form 2555, Foreign Earned Income","Konsènan Fòm 2555, Revni yo Touche Aletranje.","«О Форме 2555, Доход, полученный за рубежом».",《表格 2555 - 境外所得收入》。,"양식 2555, 해외 근로 소득에 관하여(영어)","Giới Thiệu Về Mẫu 2555, Thu Nhập Kiếm Được Ở Nước Ngoài.","Formulario 2555, Ingresos devengados en el en el extranjero (en inglés)",《表格 2555 - 境外所得收入》。
agi.a.hsaTT,"About Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans","Apwopo Piblikasyon 969, Kont Epay Sante Ak Lòt Plan Sante Non Enpozab",О публикации 969 Сберегательные медицинские счета и другие льготные планы медицинского страхования,关于第969号刊物，医疗储蓄账户和其他税收优惠的医疗计划（英文）,"간행물 969, '건강 저축 계정 그리고 기타 세금 우대 건강 플랜'에 관하여(영어)","Ấn Phẩm 969, Tài Khoản Tiết Kiệm Y Tế Và Các Gói Bảo Hiểm Y Tế Được Ưu Đãi Về Thuế Khác (tiếng Anh)","Información sobre la Publicación 969, Cuentas de ahorro para la salud y otros planes de salud favorecidos por los impuestos (en inglés)",關於 969 號出版物 —— 健康儲蓄帳戶和其他稅收優惠的健康計劃（英文）
agi.a.investmentIncomeOver1,"Publication 550, Investment Income and Expenses","Piblikasyon 550, Revni Envesti Ak Tarif","Публикация 550, Доходы и расходы от инвестиций",第550号刊物，投资收入与支出（英文）,"간행물 550,투자 소득 및 지출(영어)","Ấn Phẩm 550, Thu Nhập Và Chi Phí Đầu Tư (tiếng Anh)","Publicación 550, Ingreso y gastos de inversiones (en inglés)",550 號出版物 —— 投資收入和費用（英文）
agi.a.investmentIncomeOver2,"Publication 596, Earned Income Credit","Piblikasyon 596, Kredi Sou Revni Salarye","Публикация 596, Налоговый зачет за заработанный доход",第596号刊物，劳动所得抵免（英文）,"간행물 596, 근로 소득 공제(영어)","Ấn Phẩm 596, Tín Thuế Thu Nhập Kiếm Được","Publicación 596, Crédito por ingreso del trabajo (en inglés)",596 號出版物 —— 勞動所得稅務優惠（英文）
agi.a.investmentsTT1,"Publication 550,  Investment Income and Expenses","Piblikasyon 550,  Revni Envesti Ak Tarif",Публикацию № 550 «Инвестиционные доходы и расходы» ,出版物 550 - 投资收入和支出,"간행물 550,투자 소득 및 지출(영어)","Ấn Bản 550, Thu Nhập và Chi Phí Đầu Tư","Publicación 550, Ingreso y gastos de inversiones (en inglés)",出版物 550 - 投資收入和支出
agi.a.investmentsTT2,Publication 596,"Piblikasyon 596, Kredi sou Revni ou Touche","Публикация 596, Налоговый зачет за заработанный доход",出版物 596 - 劳动所得税收抵免:,"간행물 596, 근로 소득 공제(영어)","Ấn Bản 596, Tín Thuế Thu Nhập Kiếm Được","Publicación 596, Crédito por ingreso del trabajo (en inglés)",出版物 596 - 勞動所得稅收抵免：
agi.a.iraTT,IRA Deduction Limits,Limit Prelèvman IRA,Лимиты вычетов по IRA,个人退休账户扣减限额（英文）,IRA 공제 한도(영어),Giới Hạn Khấu Trừ IRA (tiếng Anh),Límites en la deducción de la cuenta IRA (en inglés),個人退休帳戶扣除限額（英文）
agi.a.movingTT,Tax Topic 455,Dosye Taks 455,Налоговая тема 455,税务主题 455（英文）,세금 주제 455,Chủ Đề Thuế 455,Tema tributario 455,稅務主題 455
agi.a.noEarnedIncomeWarning,What is Earned Income?,Kisa Revni Salarye A Ye?,Что такое заработанный доход?,什么是劳动所得？,근로 소득이란,Thu Nhập Kiếm Được là gì?,¿Qué es el ingreso del trabajo?,什麼是勞動所得？
