mapping_key,flow_key,lang-es,flow_es,en,ht,ru,zh-hans,ko,vi,zh-hant
filingStatus.p.fileJointTT,/filing-status/modal-joint-return-mfj/p-75997a,"Puede elegir presentar una declaración con su cónyuge seleccionando como su estado civil para los efectos de la declaración. Esto le permite combinar sus ingresos y gastos cuando calcula sus créditos, deducciones y obligación tributaria.","Puede elegir presentar una declaración con su cónyuge seleccionando <strong>Casado/a que presenta una declaración conjunta</strong> como su estado civil para los efectos de la declaración. Esto le permite combinar sus ingresos y gastos cuando calcula sus créditos, deducciones y obligación tributaria.","You can choose to file one return with your spouse by selecting <strong>Married</strong> as your filing status. This allows you to combine your income and expenses when figuring your credits, deductions, and tax liability.","Ou ka Seleksyone pou fè yon sèl deklarasyon ak konjwen ou lè w Seleksyone <strong> estati ranpli w. Sa a pèmèt ou konbine revni ou ak depans lè w ap kalkile kredi ou, dediksyon ak taks ou peye.","Вы можете подать одну декларацию вместе со своим супругом, выбрав в качестве статуса подачи <strong>. Это позволяет объединить ваши доходы и расходы при расчете зачетов, вычетов и налоговых обязательств.",您可以选择 <strong> 为您的报税状态，以与您的配偶提交一份报税表。因此，在计算您的抵免额、扣除额以及纳税金额时，可以将您的收入与支出进行结合。,"귀하는  <strong> 를 귀하의 신고 지위로 선택하여  배우자와 함께 하나의 신고서를 제출하도록 선택할 수 있습니다. 이는 귀하가 세액공제, 소득공제 그리고 세금 채무를 계산할 때 소득과 지출을 합하도록 허용합니다.","Quý vị có thể chọn khai chung hồ sơ thuế với người phối ngẫu của mình bằng cách chọn <strong> trong tư cách khai thuế của quý vị. Điều này cho phép quý vị kết hợp thu nhập và chi phí của hai người khi tính toán các khoản tín thuế, khoản khấu trừ và trách nhiệm trả thuế.",您可以透過選擇 <strong> 作為您的報稅身份來選擇與您的配偶一起報稅。這使您可以在計算稅務優惠、扣除額和納稅義務時結合您的收入和支出。
children.label.relationship3,/qualifying-children/collection/familyAndHousehold//familyAndHousehold/*/relationship/options/descendant/name,"Nieto, nieta, sobrina o sorbino ","Nieto, nieta, sobrina o sorbino","Grandchild, niece or nephew","Pitit pitit, nyès oubyen neve","Внук, племянница или племянник ",孙辈、侄亲,"손자손녀, 조카","Các cháu nội/ngoại, các cháu là con của anh/chị/em ",孫子女、侄女或侄子
generalInfo.p.claimedAsDependentTT2,//modal-claimed-dependent/p-ceda6c,"Para obtener más información sobre si alguien lo puede reclamar como persona dependiente, visite :whoMayIClaim","Para obtener más información sobre si alguien lo puede reclamar como persona dependiente, visite <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">¿A quién puedo reclamar como una persona dependiente (en inglés)</a>?","For more information about whether someone can claim you as a dependent, visit <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">Whom May I Claim as a Dependent?</a>","Pou chèche konnen si yon moun ka reklame ou kòm yon depandan, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">vizite</a>","Для получения дополнительной информации о том, может ли кто-то претендовать на вас как на иждивенца, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">перейдите</a> ","有关他人是否可将您申报为受抚养人的更多信息，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">请访问</a> ","누군가를 부양가족으로 신청 가능한지에 대한 자세한 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">정보는</a>  를 방문하세요.","Để biết thêm thông tin về việc liệu ai đó có thể kê khai quý vị là người phụ thuộc hay không, truy <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">cập</a> ","有關某人是否可以將您作為被撫養人的更多資訊，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/ita/whom-may-i-claim-as-a-dependent"">請前往</a> "
agi.p.agiDisqualifier2,/agi/fg-alert-334e2e/p-93a6b5," Para obtener más información sobre los límites de los ingresos para el crédito por ingreso del trabajo, consulte :tablesLink.","Para obtener más información sobre los límites de los ingresos para el crédito por ingreso del trabajo, consulte <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/es/forms-pubs/about-publication-596"">Tablas del ingreso del trabajo y del crédito tributario.</a>","For more information, see <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.","Pou plis enf‼masyon apwopo limit revni pou kredi genyen an, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">gade</a> ."," Для получения дополнительной информации о лимитах доходов для налогового зачета за заработанный доход <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">см</a> ."," 有关劳动所得抵免的收入限额的更多信息，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">请参阅</a> 。"," 근로 소득공제를 위한 소득 한도에 대한 자세한 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">정보는</a> 를 참조하세요."," Để biết thêm thông tin về các hạn mức thu nhập cho Tín Thuế Thu Nhập Kiếm Được, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">xem</a> ."," 有關勞動所得稅務優惠的收入限制的更多資訊，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">請參閱</a> 。"
agi.p.agiDisqualifier2,/agi/fg-alert-64891c/p-93a6b5," Para obtener más información sobre los límites de los ingresos para el crédito por ingreso del trabajo, consulte :tablesLink.","Para obtener más información sobre los límites de los ingresos para el crédito por ingreso del trabajo, consulte <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/es/credits-deductions/individuals/earned-income-tax-credit/earned-income-and-earned-income-tax-credit-eitc-tables"">Tablas del ingreso del trabajo y del crédito tributario.</a>","For more information, see <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.","Pou plis enf‼masyon apwopo limit revni pou kredi genyen an, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">gade</a> ."," Для получения дополнительной информации о лимитах доходов для налогового зачета за заработанный доход <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">см</a> ."," 有关劳动所得抵免的收入限额的更多信息，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">请参阅</a> 。"," 근로 소득공제를 위한 소득 한도에 대한 자세한 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">정보는</a> 를 참조하세요."," Để biết thêm thông tin về các hạn mức thu nhập cho Tín Thuế Thu Nhập Kiếm Được, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">xem</a> ."," 有關勞動所得稅務優惠的收入限制的更多資訊，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">請參閱</a> 。"
generalInfo.p.citizenTT3,//modal-citizen/p-2c8f8f,"Para obtener más información y excepciones importantes, consulte la <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit..","Para obtener más información y excepciones importantes, consulte <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/es/forms-pubs/about-publication-519"">la Publicación 519, Guía tributaria estadounidense para extranjeros</a>.","For more information and important exceptions, see <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/forms-pubs/about-publication-519"">Publication 519, U.S. Tax Guide for Aliens</a>.","Pou plis enfòmasyon ak eksepsyon enpòtan, gade <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.","Для получения дополнительной информации и важных исключений, см. <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.","有关更多信息和重要例外情况，请参阅 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.","자세한 정보는  <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.를 확인하세요.","Để biết thêm thông tin và các trường hợp ngoại lệ quan trọng, xem <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit.","有關更多資訊和重要例外情況，請參閱 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit."
generalInfo.p.claimedAsDependentWarning2,//modal-claimed-dependent/p-d11380,"Para obtener más información sobre si alguien lo puede reclamar como hijo calificado, visite :link.","Para obtener más información sobre si alguien lo puede reclamar como hijo calificado, visite <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596sp""> Publicación 596, Crédito tributario por ingreso del trabajo, Usted no puede ser el hijo calificado de otra persona.</a>","For more information about whether someone can claim you as a qualifying child for the EITC, see <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">Publication 596, Earned Income Credit, You Cannot Be a Qualifying Child of Another Taxpayer</a>.","Pou plis enfòmasyon sou si yon moun ka deklare w yon timoun ki kalifye pou EITC, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">gade</a> .","Более подробную информацию о том, может ли кто-то заявить вас как ребенка, имеющего право на получение EITC, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">смотрите</a> .","有关他人是否可将您申报为受抚养人以申请 EITC 的更多信息，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">请参阅</a> 。","누군가 귀하를 EITC를 위한 적격 자녀로 신청할 수 있는지에 대한 자세한 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">정보는</a> 를 확인하세요.","Để biết thêm thông tin về việc liệu ai đó có thể kê khai quý vị là trẻ đủ điều kiện để nhận EITC, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">xem</a> .","有關某人是否可以針對 EITC 將您申領為合格子女的更多資訊，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2021_publink1000298540"">請參閱</a> 。"
children.p.youngerTT1,/qualifying-children/modal-age-comparison/p-626c78,"Para ser un hijo calificado, el niño debe ser menor que usted o su cónyuge, a menos que tenga una discapacidad permanente y total en cualquier momento del año <fg-show path=""/taxYear""/>. ","Para ser un hijo calificado, el niño debe ser menor que <span condition=""/isFilingStatusMFJ"" operator=""isFalse"">usted</span><span condition=""/isFilingStatusMFJ"" operator=""isTrue"">usted o su cónyuge</span>, a menos que tenga una discapacidad permanente y total en cualquier momento del año <fg-show path=""/taxYear""/>.","To be a qualifying child, the child must be younger than you or your spouse unless the child is permanently and totally disabled at any time during 2025.","Pou yon timoun ki kalifye, timoun nan dwe pi piti pase ou, sof si li andikape nèt ale nan nenpòt ki lè pandan <fg-show path=""/taxYear"">.","Для того чтобы ребенок соответствовал критериям, он должен быть младше вас, если только ребенок не является постоянным и полностью нетрудоспособным в любое время в течение <fg-show path=""/taxYear"">.","要成为符合条件的子女，这名子女必须比您年龄小，除非这名子女于 <fg-show path=""/taxYear""/> 期间的任何时间永久、完全残障。","적격 자녀가 되기 위해 자녀가 <fg-show path=""/taxYear"">년에 영구적으로 완전하게 장애가 있는 것이 아니라면 반드시 귀하 혹은 귀하의 배우자보다 어려야 합니다.","Để trở thành trẻ đủ điều kiện, đứa trẻ phải ít tuổi hơn quý vị trừ khi đứa trẻ đó bị tàn tật toàn phần và vĩnh viễn tại bất kỳ thời điểm nào trong <fg-show path=""/taxYear"">.","如要成為合格的子女，子女必須比您小，除非子女在 <fg-show path=""/taxYear""/> 年中的任何時候都是永久且完全殘疾。"
generalInfo.p.citizenWarning2,//fg-alert-8b7db9/p-f72c3e," Seleccione yes si presenta una declaración conjunta con su cónyuge para el año <fg-show path=""/taxYear""/> y usted o su cónyuge fueron ciudadanos estadounidenses o extranjeros residentes durante todo el año.","<strong>Aviso:</strong> eleccione <strong>Sí</strong> si presenta una declaración conjunta con su cónyuge para el año <fg-show path=""/taxYear""/> y usted o su cónyuge fueron ciudadanos estadounidenses o extranjeros residentes durante todo el año.","<strong>Note:</strong> Select Yes if you are filing a joint return with your spouse for <fg-show path=""/taxYear""/> and either you or your spouse were a U.S. citizen or resident alien for the entire year.","Seleksyone: yes si w ap ranpli yon deklarasyon kolektif ak konjwen ou pou <fg-show path=""/taxYear""/> epi ou menm oubyen konjwen ou te yon sitwayen ameriken oubyen rezidan etranje pandan tout ane a."," Выберите yes, если вы подаете совместную декларацию с супругом за <fg-show path=""/taxYear""/>, и вы или ваш супруг были гражданином или резидентом США в течение всего года."," 选择 yes，如果您与您的配偶联合申报 <fg-show path=""/taxYear""/> 的所得，并且您或您的配偶全年都是美国公民或外籍居民。"," 만약 귀하가 <fg-show path=""/taxYear""/>년에 배우자와 공동신고서를 제출했거나 귀하와 귀하의 배우자 각각이 전체 연도에 미국 시민 혹은 영주 체류자였다면 yes 선택하세요."," Chọn yes nếu quý vị đang khai thuế chung với người phối ngẫu của mình cho <fg-show path=""/taxYear""/> và quý vị hoặc người phối ngẫu là Công Dân Hoa Kỳ hoặc Ngoại Nhân Thường Trú trong cả năm."," 如果您要在 <fg-show path=""/taxYear""/> 年與您的配偶共同申報報稅表，並且您或您的配偶在整個一年中都是美國公民或外籍居民，請選擇 yes。"
filingStatus.p.intendJointReturnDeceasedTT,/filing-status/modal-joint-deceased-spouse/p-85e581,"Si su cónyuge falleció durante el año <fg-show path=""/taxYear""/>, puede elegir presentar una declaración con su cónyuge seleccionado como su estado civil para los efectos de la declaración. Esto le permite combinar sus ingresos y gastos cuando calcula sus créditos, deducciones y obligación tributaria.","Si su cónyuge falleció durante el año <fg-show path=""/taxYear""/>, puede elegir presentar una declaración con su cónyuge seleccionado <strong>Casado/a que presenta una declaración conjunta</strong> como su estado civil para los efectos de la declaración. Esto le permite combinar sus ingresos y gastos cuando calcula sus créditos, deducciones y obligación tributaria.","If your spouse died during <fg-show path=""/taxYear""/>, you can choose to file one return with your spouse by selecting <strong>Married Filing Jointly</strong> as your filing status. This allows you to combine your income and expenses when figuring your credits, deductions, and tax liability.","Si konjwen ou te mouri pandan <fg-show path=""/taxYear""/>, ou ka Seleksyone pou ranpli yon sèl deklarasyon ak konjwen ou lè w Seleksyone <fg-show path=""/taxYear""/> kòm estati ranplisaj ou. Sa a pèmèt ou konbine revni ou ak depans lè w ap kalkile kredi ou, dediksyon ak taks ou pe. This allows you to combine your income and expenses when figuring your credits, deductions, and tax liability.","Если ваш супруг умер в течение <fg-show path=""/taxYear""/>, вы можете подать одну декларацию вместе с супругом, выбрав в качестве статуса подачи декларации <fg-show path=""/taxYear""/>. Это позволяет объединить ваши доходы и расходы при расчете зачетов, вычетов и налоговых обязательств.","如果您的配偶于 <fg-show path=""/taxYear""/> 去世，您可以选择 <fg-show path=""/taxYear""/> 为您的报税状态，以与您的配偶提交一份报税表。 因此，在计算您的抵免额、扣除额以及纳税金额时，可以将您的收入与支出进行结合。","만약 귀하의 배우자가 <fg-show path=""/taxYear""/>년에 사망했다면, 귀하의 신고 지위로서 <fg-show path=""/taxYear""/>를 선택하여 귀하의 배우자와 하나의 신고서 제출을 선택할 수 있습니다. 이는 자신의 세액공제, 소득공제, 세금 채무를 계산할 때 자신의 소득과 지출을 합산할 수 있도록 합니다.","Nếu người phối ngẫu của quý vị đã qua đời trong <fg-show path=""/taxYear""/>, quý vị có thể chọn khai chung hồ sơ thuế với người phối ngẫu của mình bằng cách chọn <fg-show path=""/taxYear""/> trong tư cách khai thuế. Điều này cho phép quý vị kết hợp thu nhập và chi phí của hai người khi tính toán các khoản tín thuế, khoản khấu trừ và trách nhiệm trả thuế.","如果您的配偶在 <fg-show path=""/taxYear""/>, 年間去世，您可以透過選擇 <fg-show path=""/taxYear""/> 作為您的報稅身份來選擇與您的配偶一起報稅。這使您可以在計算稅務優惠、扣除額和納稅義務時結合您的收入和支出。"
